Samples,profile_id,latitude,longitude,BD (g/cm3),SOC (g/kg),SOCD (kg/m2),upper_dept,lower_dept,Depth,DEM,NDVI,MAT,MAP,PET,AI,pH,Sand,Silt,Clay,CLCD,SOCD__meth,References,Year
1,1,31.48630556,118.5140278,1.15,18.16,2.92,0,14,7,9.36 ,0.45 ,15.91 ,93.60 ,1259.87 ,0.89 ,6.25 ,41.55 ,34.27 ,62.51 ,1,Measurement,"Liu et al., 2022",2014
2,1,31.48630556,118.5140278,1.33,14.44,1.54,14,22,18,9.36 ,0.45 ,15.91 ,93.60 ,1259.87 ,0.89 ,6.43 ,39.79 ,31.51 ,64.32 ,1,Measurement,"Liu et al., 2022",2014
3,1,31.48630556,118.5140278,1.53,3.88,2.55,22,65,43.5,9.36 ,0.45 ,15.91 ,93.60 ,1259.87 ,0.89 ,6.72 ,42.50 ,26.63 ,67.25 ,1,Measurement,"Liu et al., 2022",2014
4,1,31.48630556,118.5140278,1.23,10.61,4.96,65,103,84,9.36 ,0.45 ,15.91 ,93.60 ,1259.87 ,0.89 ,6.81 ,37.68 ,30.09 ,68.10 ,1,Measurement,"Liu et al., 2022",2014
5,2,31.00688889,116.9087222,1.24,25.23,5.32,0,17,8.5,46.20 ,0.47 ,16.36 ,121.10 ,1289.22 ,1.13 ,6.06 ,48.55 ,29.42 ,60.60 ,1,Measurement,"Liu et al., 2022",2014
6,2,31.00688889,116.9087222,1.44,17.92,2.06,17,25,21,46.20 ,0.47 ,16.36 ,121.10 ,1289.22 ,1.13 ,6.18 ,47.58 ,28.04 ,61.83 ,1,Measurement,"Liu et al., 2022",2014
7,2,31.00688889,116.9087222,1.43,15.31,6.57,25,55,40,46.20 ,0.47 ,16.36 ,121.10 ,1289.22 ,1.13 ,6.19 ,46.12 ,27.20 ,61.87 ,1,Measurement,"Liu et al., 2022",2014
8,2,31.00688889,116.9087222,1.57,3.53,3.6,55,120,87.5,46.20 ,0.47 ,16.36 ,121.10 ,1289.22 ,1.13 ,6.33 ,43.18 ,28.62 ,63.25 ,1,Measurement,"Liu et al., 2022",2014
9,3,31.50036111,116.8475278,0.58,16.65,1.64,0,17,8.5,23.36 ,0.64 ,16.05 ,102.29 ,1293.45 ,0.95 ,5.63 ,34.41 ,38.84 ,56.31 ,1,Measurement,"Liu et al., 2022",2014
10,3,31.50036111,116.8475278,1.25,10.73,1.07,17,25,21,23.36 ,0.64 ,16.05 ,102.29 ,1293.45 ,0.95 ,6.00 ,33.67 ,36.87 ,60.03 ,1,Measurement,"Liu et al., 2022",2014
11,3,31.50036111,116.8475278,1.51,7.02,2.44,25,48,36.5,23.36 ,0.64 ,16.05 ,102.29 ,1293.45 ,0.95 ,6.35 ,31.47 ,35.46 ,63.50 ,1,Measurement,"Liu et al., 2022",2014
12,3,31.50036111,116.8475278,1.53,2.58,2.85,48,120,84,23.36 ,0.64 ,16.05 ,102.29 ,1293.45 ,0.95 ,6.63 ,31.76 ,35.25 ,66.31 ,1,Measurement,"Liu et al., 2022",2014
13,4,30.15447222,118.4911667,0.9,21.2,2.48,0,13,6.5,278.45 ,0.66 ,15.33 ,126.95 ,1166.00 ,1.31 ,6.12 ,42.32 ,37.16 ,61.17 ,5,Measurement,"Liu et al., 2022",2014
14,4,30.15447222,118.4911667,1.24,16.48,1.43,13,20,16.5,278.45 ,0.66 ,15.33 ,126.95 ,1166.00 ,1.31 ,6.15 ,42.35 ,35.62 ,61.46 ,5,Measurement,"Liu et al., 2022",2014
15,4,30.15447222,118.4911667,1.29,14.87,2.88,20,35,27.5,278.45 ,0.66 ,15.33 ,126.95 ,1166.00 ,1.31 ,6.26 ,43.68 ,33.58 ,62.55 ,5,Measurement,"Liu et al., 2022",2014
16,4,30.15447222,118.4911667,1.43,5.74,1.23,35,50,42.5,278.45 ,0.66 ,15.33 ,126.95 ,1166.00 ,1.31 ,6.30 ,48.55 ,28.63 ,63.00 ,5,Measurement,"Liu et al., 2022",2014
17,4,30.15447222,118.4911667,1.32,2.28,2.11,50,120,85,278.45 ,0.66 ,15.33 ,126.95 ,1166.00 ,1.31 ,6.35 ,51.01 ,25.73 ,63.48 ,5,Measurement,"Liu et al., 2022",2014
18,5,30.41438889,116.2570556,1.18,14.97,3.18,0,18,9,39.12 ,0.50 ,16.87 ,120.50 ,1335.00 ,1.08 ,6.43 ,47.02 ,31.10 ,64.31 ,2,Measurement,"Liu et al., 2022",2014
19,5,30.41438889,116.2570556,1.41,0.99,0.14,18,28,23,39.12 ,0.50 ,16.87 ,120.50 ,1335.00 ,1.08 ,6.56 ,44.67 ,30.16 ,65.60 ,2,Measurement,"Liu et al., 2022",2014
20,5,30.41438889,116.2570556,1.63,0.64,0.1,28,38,33,39.12 ,0.50 ,16.87 ,120.50 ,1335.00 ,1.08 ,6.66 ,46.33 ,29.04 ,66.62 ,2,Measurement,"Liu et al., 2022",2014
21,5,30.41438889,116.2570556,1.63,1.33,0.48,38,60,49,39.12 ,0.50 ,16.87 ,120.50 ,1335.00 ,1.08 ,6.79 ,49.70 ,28.79 ,67.92 ,2,Measurement,"Liu et al., 2022",2014
22,5,30.41438889,116.2570556,1.6,0.12,0.02,60,73,66.5,39.12 ,0.50 ,16.87 ,120.50 ,1335.00 ,1.08 ,6.85 ,46.86 ,31.68 ,68.52 ,2,Measurement,"Liu et al., 2022",2014
23,5,30.41438889,116.2570556,1.63,2.55,1.96,73,120,96.5,39.12 ,0.50 ,16.87 ,120.50 ,1335.00 ,1.08 ,6.90 ,40.49 ,35.75 ,68.98 ,2,Measurement,"Liu et al., 2022",2014
24,6,31.27394444,118.26525,1.01,27.49,3.89,0,14,7,10.00 ,0.55 ,16.16 ,99.61 ,1260.19 ,0.95 ,6.41 ,32.25 ,40.56 ,64.07 ,2,Measurement,"Liu et al., 2022",2014
25,6,31.27394444,118.26525,1.13,23.38,2.38,14,23,18.5,10.00 ,0.55 ,16.16 ,99.61 ,1260.19 ,0.95 ,6.73 ,32.68 ,38.09 ,67.33 ,2,Measurement,"Liu et al., 2022",2014
26,6,31.27394444,118.26525,1.2,15.26,4.58,23,48,35.5,10.00 ,0.55 ,16.16 ,99.61 ,1260.19 ,0.95 ,7.12 ,31.78 ,36.09 ,71.19 ,2,Measurement,"Liu et al., 2022",2014
27,6,31.27394444,118.26525,1.29,19.37,10.5,48,90,69,10.00 ,0.55 ,16.16 ,99.61 ,1260.19 ,0.95 ,7.34 ,30.39 ,36.29 ,73.38 ,2,Measurement,"Liu et al., 2022",2014
28,6,31.27394444,118.26525,1.51,7.25,2.19,90,110,100,10.00 ,0.55 ,16.16 ,99.61 ,1260.19 ,0.95 ,7.43 ,30.67 ,36.79 ,74.28 ,2,Measurement,"Liu et al., 2022",2014
29,7,31.65711111,117.7692778,1.1,21,3.46,0,15,7.5,8.38 ,0.59 ,15.75 ,93.33 ,1267.05 ,0.88 ,6.64 ,29.43 ,47.36 ,66.44 ,1,Measurement,"Liu et al., 2022",2014
30,7,31.65711111,117.7692778,1.31,14.73,1.35,15,22,18.5,8.38 ,0.59 ,15.75 ,93.33 ,1267.05 ,0.88 ,6.85 ,30.54 ,38.13 ,68.48 ,1,Measurement,"Liu et al., 2022",2014
31,7,31.65711111,117.7692778,1.35,3.76,1.42,22,50,36,8.38 ,0.59 ,15.75 ,93.33 ,1267.05 ,0.88 ,7.08 ,32.85 ,29.28 ,70.84 ,1,Measurement,"Liu et al., 2022",2014
32,7,31.65711111,117.7692778,1.49,1.79,0.45,50,67,58.5,8.38 ,0.59 ,15.75 ,93.33 ,1267.05 ,0.88 ,7.20 ,34.14 ,29.04 ,72.05 ,1,Measurement,"Liu et al., 2022",2014
33,7,31.65711111,117.7692778,1.49,1.45,1.15,67,120,93.5,8.38 ,0.59 ,15.75 ,93.33 ,1267.05 ,0.88 ,7.23 ,35.02 ,28.19 ,72.27 ,1,Measurement,"Liu et al., 2022",2014
34,8,31.16452778,117.3731944,1.1,15.6,2.57,0,15,7.5,8.00 ,0.53 ,16.26 ,110.64 ,1279.76 ,1.04 ,6.57 ,40.48 ,27.80 ,65.72 ,1,Measurement,"Liu et al., 2022",2014
35,8,31.16452778,117.3731944,1.44,13.81,1.19,15,21,18,8.00 ,0.53 ,16.26 ,110.64 ,1279.76 ,1.04 ,6.71 ,39.70 ,30.05 ,67.06 ,1,Measurement,"Liu et al., 2022",2014
36,8,31.16452778,117.3731944,1.43,9.67,6.08,21,65,43,8.00 ,0.53 ,16.26 ,110.64 ,1279.76 ,1.04 ,6.78 ,37.91 ,33.36 ,67.79 ,1,Measurement,"Liu et al., 2022",2014
37,8,31.16452778,117.3731944,1.33,14.15,8.47,65,110,87.5,8.00 ,0.53 ,16.26 ,110.64 ,1279.76 ,1.04 ,6.66 ,36.01 ,33.72 ,66.60 ,1,Measurement,"Liu et al., 2022",2014
38,9,30.61708333,116.5175556,1.1,17.66,2.91,0,15,7.5,44.29 ,0.48 ,16.71 ,121.52 ,1325.36 ,1.10 ,5.83 ,40.86 ,38.18 ,58.32 ,1,Measurement,"Liu et al., 2022",2014
39,9,30.61708333,116.5175556,1.37,13.31,1.46,15,23,19,44.29 ,0.48 ,16.71 ,121.52 ,1325.36 ,1.10 ,5.86 ,38.23 ,39.78 ,58.64 ,1,Measurement,"Liu et al., 2022",2014
40,9,30.61708333,116.5175556,1.44,11.87,3.93,23,46,34.5,44.29 ,0.48 ,16.71 ,121.52 ,1325.36 ,1.10 ,5.84 ,37.42 ,38.72 ,58.43 ,1,Measurement,"Liu et al., 2022",2014
41,9,30.61708333,116.5175556,1.44,10.88,5.64,46,82,64,44.29 ,0.48 ,16.71 ,121.52 ,1325.36 ,1.10 ,5.93 ,37.42 ,36.91 ,59.28 ,1,Measurement,"Liu et al., 2022",2014
42,9,30.61708333,116.5175556,1.25,3.88,1.36,82,110,96,44.29 ,0.48 ,16.71 ,121.52 ,1325.36 ,1.10 ,6.06 ,36.42 ,36.77 ,60.55 ,1,Measurement,"Liu et al., 2022",2014
43,10,31.25027778,117.5469444,1.19,20.07,4.78,0,20,10,6.00 ,0.43 ,16.15 ,106.63 ,1276.85 ,1.00 ,6.50 ,25.40 ,50.80 ,64.98 ,1,Measurement,"Liu et al., 2022",2014
44,10,31.25027778,117.5469444,1.44,7.25,0.84,20,28,24,6.00 ,0.43 ,16.15 ,106.63 ,1276.85 ,1.00 ,6.98 ,25.73 ,46.87 ,69.84 ,1,Measurement,"Liu et al., 2022",2014
45,10,31.25027778,117.5469444,1.58,6.77,2.14,28,48,38,6.00 ,0.43 ,16.15 ,106.63 ,1276.85 ,1.00 ,7.20 ,26.15 ,45.11 ,72.00 ,1,Measurement,"Liu et al., 2022",2014
46,10,31.25027778,117.5469444,1.53,3.9,1.79,48,78,63,6.00 ,0.43 ,16.15 ,106.63 ,1276.85 ,1.00 ,7.27 ,25.05 ,47.33 ,72.74 ,1,Measurement,"Liu et al., 2022",2014
47,10,31.25027778,117.5469444,1.52,2.3,1.47,78,120,99,6.00 ,0.43 ,16.15 ,106.63 ,1276.85 ,1.00 ,7.33 ,23.50 ,49.75 ,73.27 ,1,Measurement,"Liu et al., 2022",2014
48,11,31.17286111,117.6477778,1.19,16.53,3.15,0,16,8,7.00 ,0.46 ,16.33 ,107.58 ,1282.97 ,1.01 ,7.24 ,23.56 ,52.33 ,72.41 ,1,Measurement,"Liu et al., 2022",2014
49,11,31.17286111,117.6477778,1.37,7.18,0.69,16,23,19.5,7.00 ,0.46 ,16.33 ,107.58 ,1282.97 ,1.01 ,7.16 ,27.09 ,46.49 ,71.63 ,1,Measurement,"Liu et al., 2022",2014
50,11,31.17286111,117.6477778,1.32,5.14,1.42,23,44,33.5,7.00 ,0.46 ,16.33 ,107.58 ,1282.97 ,1.01 ,7.23 ,30.62 ,41.02 ,72.31 ,1,Measurement,"Liu et al., 2022",2014
51,11,31.17286111,117.6477778,1.54,4.97,1.22,44,60,52,7.00 ,0.46 ,16.33 ,107.58 ,1282.97 ,1.01 ,7.41 ,30.51 ,40.49 ,74.10 ,1,Measurement,"Liu et al., 2022",2014
52,11,31.17286111,117.6477778,1.54,5.54,5.12,60,120,90,7.00 ,0.46 ,16.33 ,107.58 ,1282.97 ,1.01 ,7.43 ,26.22 ,44.68 ,74.32 ,1,Measurement,"Liu et al., 2022",2014
53,12,29.85480556,118.3683611,1.11,24.13,4.02,0,15,7.5,119.71 ,0.73 ,16.55 ,129.92 ,1236.00 ,1.26 ,5.88 ,38.48 ,45.53 ,58.84 ,2,Measurement,"Liu et al., 2022",2014
54,12,29.85480556,118.3683611,1.51,9.28,1.4,15,25,20,119.71 ,0.73 ,16.55 ,129.92 ,1236.00 ,1.26 ,5.99 ,37.07 ,46.71 ,59.91 ,2,Measurement,"Liu et al., 2022",2017
55,12,29.85480556,118.3683611,1.6,5.67,1.18,25,38,31.5,119.71 ,0.73 ,16.55 ,129.92 ,1236.00 ,1.26 ,6.17 ,38.83 ,44.76 ,61.70 ,2,Measurement,"Liu et al., 2022",2019
56,12,29.85480556,118.3683611,1.61,5.9,1.14,38,50,44,119.71 ,0.73 ,16.55 ,129.92 ,1236.00 ,1.26 ,6.35 ,41.89 ,41.39 ,63.46 ,2,Measurement,"Liu et al., 2022",2019
57,12,29.85480556,118.3683611,1.61,3.32,3.21,50,110,80,119.71 ,0.73 ,16.55 ,129.92 ,1236.00 ,1.26 ,6.54 ,43.40 ,42.10 ,65.35 ,2,Measurement,"Liu et al., 2022",2019
58,13,32.51472222,117.9386111,1.2,8.76,1.89,0,18,9,25.03 ,0.63 ,15.48 ,75.33 ,1329.00 ,0.68 ,6.06 ,42.56 ,28.53 ,60.59 ,2,Measurement,"Liu et al., 2022",2019
59,13,32.51472222,117.9386111,1.46,5.92,1.04,18,30,24,25.03 ,0.63 ,15.48 ,75.33 ,1329.00 ,0.68 ,6.55 ,40.26 ,27.37 ,65.50 ,2,Measurement,"Liu et al., 2022",2019
60,13,32.51472222,117.9386111,1.58,0.23,0.11,30,60,45,25.03 ,0.63 ,15.48 ,75.33 ,1329.00 ,0.68 ,7.17 ,37.16 ,31.14 ,71.73 ,2,Measurement,"Liu et al., 2022",2019
61,13,32.51472222,117.9386111,1.5,1.91,0.86,60,90,75,25.03 ,0.63 ,15.48 ,75.33 ,1329.00 ,0.68 ,7.43 ,37.07 ,28.89 ,74.27 ,2,Measurement,"Liu et al., 2022",2019
62,13,32.51472222,117.9386111,1.55,0.7,0.32,90,120,105,25.03 ,0.63 ,15.48 ,75.33 ,1329.00 ,0.68 ,7.44 ,38.37 ,25.70 ,74.40 ,2,Measurement,"Liu et al., 2022",2019
63,14,32.46819444,117.6062222,1.04,14.21,2.22,0,15,7.5,79.60 ,0.47 ,15.25 ,76.50 ,1321.00 ,0.69 ,6.13 ,36.28 ,36.11 ,61.31 ,3,Measurement,"Liu et al., 2022",2017
64,14,32.46819444,117.6062222,1.56,8,1,15,23,19,79.60 ,0.47 ,15.25 ,76.50 ,1321.00 ,0.69 ,6.79 ,34.89 ,34.72 ,67.94 ,3,Measurement,"Liu et al., 2022",2017
65,14,32.46819444,117.6062222,1.57,3.23,0.86,23,40,31.5,79.60 ,0.47 ,15.25 ,76.50 ,1321.00 ,0.69 ,7.35 ,33.47 ,32.19 ,73.48 ,3,Measurement,"Liu et al., 2022",2017
66,14,32.46819444,117.6062222,1.55,2.95,1.83,40,80,60,79.60 ,0.47 ,15.25 ,76.50 ,1321.00 ,0.69 ,7.61 ,32.05 ,29.00 ,76.08 ,3,Measurement,"Liu et al., 2022",2017
67,14,32.46819444,117.6062222,1.51,2.6,1.57,80,120,100,79.60 ,0.47 ,15.25 ,76.50 ,1321.00 ,0.69 ,7.73 ,29.94 ,31.29 ,77.28 ,3,Measurement,"Liu et al., 2022",2017
68,15,31.06361111,118.8510278,1.13,17.05,2.7,0,14,7,13.34 ,0.52 ,16.00 ,99.79 ,1242.00 ,0.96 ,5.60 ,40.02 ,36.14 ,55.99 ,1,Measurement,"Liu et al., 2022",2017
69,15,31.06361111,118.8510278,1.48,12.39,1.1,14,20,17,13.34 ,0.52 ,16.00 ,99.79 ,1242.00 ,0.96 ,6.10 ,40.01 ,36.96 ,61.03 ,1,Measurement,"Liu et al., 2022",2017
70,15,31.06361111,118.8510278,1.6,1.16,0.31,20,37,28.5,13.34 ,0.52 ,16.00 ,99.79 ,1242.00 ,0.96 ,6.67 ,38.70 ,37.76 ,66.65 ,1,Measurement,"Liu et al., 2022",2016
71,15,31.06361111,118.8510278,1.53,1.38,0.23,37,48,42.5,13.34 ,0.52 ,16.00 ,99.79 ,1242.00 ,0.96 ,6.91 ,37.14 ,34.90 ,69.06 ,1,Measurement,"Liu et al., 2022",2016
72,15,31.06361111,118.8510278,1.52,0.46,0.44,48,110,79,13.34 ,0.52 ,16.00 ,99.79 ,1242.00 ,0.96 ,7.01 ,34.79 ,30.49 ,70.08 ,1,Measurement,"Liu et al., 2022",2016
73,16,30.78802778,118.9632222,1.24,16.24,2.62,0,13,6.5,40.07 ,0.31 ,16.13 ,106.33 ,1235.00 ,1.03 ,6.01 ,35.26 ,41.87 ,60.08 ,2,Measurement,"Liu et al., 2022",2019
74,16,30.78802778,118.9632222,1.44,12.74,1.1,13,19,16,40.07 ,0.31 ,16.13 ,106.33 ,1235.00 ,1.03 ,6.23 ,34.16 ,42.96 ,62.29 ,2,Measurement,"Liu et al., 2022",2011
75,16,30.78802778,118.9632222,1.66,6.08,1.92,19,38,28.5,40.07 ,0.31 ,16.13 ,106.33 ,1235.00 ,1.03 ,6.51 ,32.70 ,43.85 ,65.14 ,2,Measurement,"Liu et al., 2022",2012
76,16,30.78802778,118.9632222,1.62,4.85,2.12,38,65,51.5,40.07 ,0.31 ,16.13 ,106.33 ,1235.00 ,1.03 ,6.84 ,36.20 ,38.14 ,68.35 ,2,Measurement,"Liu et al., 2022",2014
77,16,30.78802778,118.9632222,1.63,3.29,2.95,65,120,92.5,40.07 ,0.31 ,16.13 ,106.33 ,1235.00 ,1.03 ,6.90 ,36.27 ,38.57 ,68.97 ,2,Measurement,"Liu et al., 2022",2014
78,17,31.41758333,118.7412222,1.02,29.47,3.91,0,13,6.5,6.00 ,0.19 ,15.93 ,95.45 ,1257.51 ,0.91 ,6.39 ,18.94 ,55.59 ,63.86 ,1,Measurement,"Liu et al., 2022",2014
79,17,31.41758333,118.7412222,1.14,18.91,1.29,13,19,16,6.00 ,0.19 ,15.93 ,95.45 ,1257.51 ,0.91 ,6.51 ,21.10 ,50.78 ,65.07 ,1,Measurement,"Liu et al., 2022",2014
80,17,31.41758333,118.7412222,1.05,13.52,6.1,19,62,40.5,6.00 ,0.19 ,15.93 ,95.45 ,1257.51 ,0.91 ,6.84 ,22.51 ,46.65 ,68.36 ,1,Measurement,"Liu et al., 2022",2014
81,17,31.41758333,118.7412222,1.2,13.11,2.52,62,78,70,6.00 ,0.19 ,15.93 ,95.45 ,1257.51 ,0.91 ,6.92 ,20.69 ,50.48 ,69.20 ,1,Measurement,"Liu et al., 2022",2014
82,17,31.41758333,118.7412222,1.17,12.12,3.12,78,100,89,6.00 ,0.19 ,15.93 ,95.45 ,1257.51 ,0.91 ,6.92 ,19.86 ,52.22 ,69.16 ,1,Measurement,"Liu et al., 2022",2014
83,18,31.31388889,118.5386944,1.2,13.86,2.33,0,14,7,7.00 ,0.35 ,16.03 ,96.50 ,1258.00 ,0.92 ,6.44 ,43.56 ,35.33 ,64.36 ,1,Measurement,"Liu et al., 2022",2014
84,18,31.31388889,118.5386944,1.57,4.81,0.68,14,23,18.5,7.00 ,0.35 ,16.03 ,96.50 ,1258.00 ,0.92 ,6.79 ,39.45 ,35.82 ,67.86 ,1,Measurement,"Liu et al., 2022",2014
85,18,31.31388889,118.5386944,1.49,6.26,3.73,23,63,43,7.00 ,0.35 ,16.03 ,96.50 ,1258.00 ,0.92 ,7.17 ,36.85 ,34.40 ,71.71 ,1,Measurement,"Liu et al., 2022",2014
86,18,31.31388889,118.5386944,1.48,8.47,4.64,63,100,81.5,7.00 ,0.35 ,16.03 ,96.50 ,1258.00 ,0.92 ,7.35 ,33.76 ,36.28 ,73.47 ,1,Measurement,"Liu et al., 2022",2014
87,19,29.75891667,118.2926389,1.21,13.11,2.06,0,13,6.5,156.57 ,0.70 ,16.45 ,132.88 ,1240.18 ,1.29 ,5.43 ,48.97 ,31.43 ,54.33 ,1,Measurement,"Liu et al., 2022",2014
88,19,29.75891667,118.2926389,1.42,5.45,0.85,13,24,18.5,156.57 ,0.70 ,16.45 ,132.88 ,1240.18 ,1.29 ,5.53 ,47.11 ,31.83 ,55.27 ,1,Measurement,"Liu et al., 2022",2014
89,19,29.75891667,118.2926389,1.45,1.38,0.4,24,44,34,156.57 ,0.70 ,16.45 ,132.88 ,1240.18 ,1.29 ,5.63 ,46.60 ,31.91 ,56.28 ,1,Measurement,"Liu et al., 2022",2014
90,19,29.75891667,118.2926389,1.45,0.86,0.46,44,81,62.5,156.57 ,0.70 ,16.45 ,132.88 ,1240.18 ,1.29 ,5.74 ,47.79 ,31.09 ,57.45 ,1,Measurement,"Liu et al., 2022",2014
91,19,29.75891667,118.2926389,1.45,1.46,0.51,81,105,93,156.57 ,0.70 ,16.45 ,132.88 ,1240.18 ,1.29 ,5.81 ,46.75 ,32.73 ,58.13 ,1,Measurement,"Liu et al., 2022",2014
92,20,30.80527778,118.6383889,1.06,19.57,2.9,0,14,7,60.77 ,0.71 ,15.93 ,106.92 ,1231.00 ,1.04 ,5.43 ,49.71 ,27.08 ,54.32 ,1,Measurement,"Liu et al., 2022",2014
93,20,30.80527778,118.6383889,1.43,16.44,1.18,14,19,16.5,60.77 ,0.71 ,15.93 ,106.92 ,1231.00 ,1.04 ,5.60 ,51.86 ,24.67 ,55.97 ,1,Measurement,"Liu et al., 2022",2014
94,20,30.80527778,118.6383889,1.74,9.44,2.96,19,37,28,60.77 ,0.71 ,15.93 ,106.92 ,1231.00 ,1.04 ,5.84 ,53.36 ,22.86 ,58.43 ,1,Measurement,"Liu et al., 2022",2014
95,20,30.80527778,118.6383889,1.74,4.15,2.74,37,75,56,60.77 ,0.71 ,15.93 ,106.92 ,1231.00 ,1.04 ,6.33 ,52.19 ,22.32 ,63.28 ,1,Measurement,"Liu et al., 2022",2014
96,20,30.80527778,118.6383889,1.06,2.56,1.22,75,120,97.5,60.77 ,0.71 ,15.93 ,106.92 ,1231.00 ,1.04 ,6.59 ,50.90 ,23.82 ,65.89 ,1,Measurement,"Liu et al., 2022",2014
97,21,31.01183333,118.9402778,1.17,18.85,3.09,0,14,7,33.67 ,0.72 ,15.85 ,100.67 ,1231.05 ,0.98 ,5.29 ,45.22 ,30.22 ,52.92 ,1,Measurement,"Liu et al., 2022",2014
98,21,31.01183333,118.9402778,1.32,16.94,1.34,14,20,17,33.67 ,0.72 ,15.85 ,100.67 ,1231.05 ,0.98 ,5.50 ,47.72 ,26.80 ,54.98 ,1,Measurement,"Liu et al., 2022",2014
99,21,31.01183333,118.9402778,1.58,10.48,1.32,20,28,24,33.67 ,0.72 ,15.85 ,100.67 ,1231.05 ,0.98 ,5.66 ,50.48 ,23.59 ,56.59 ,1,Measurement,"Liu et al., 2022",2014
100,21,31.01183333,118.9402778,1.62,5.02,3.9,28,76,52,33.67 ,0.72 ,15.85 ,100.67 ,1231.05 ,0.98 ,6.24 ,49.21 ,24.94 ,62.43 ,1,Measurement,"Liu et al., 2022",2014
101,21,31.01183333,118.9402778,1.61,3.18,2.77,76,130,103,33.67 ,0.72 ,15.85 ,100.67 ,1231.05 ,0.98 ,6.58 ,45.29 ,29.00 ,65.80 ,1,Measurement,"Liu et al., 2022",2014
102,22,32.42583333,117.99,1.34,12.06,1.62,0,10,5,85.21 ,0.58 ,15.24 ,77.94 ,1308.96 ,0.71 ,6.14 ,47.61 ,26.14 ,61.36 ,1,Measurement,"Liu et al., 2022",2014
103,22,32.42583333,117.99,1.62,9.19,1.49,10,20,15,85.21 ,0.58 ,15.24 ,77.94 ,1308.96 ,0.71 ,6.48 ,47.81 ,25.70 ,64.76 ,1,Measurement,"Liu et al., 2022",2014
104,22,32.42583333,117.99,1.75,2.3,0.8,20,40,30,85.21 ,0.58 ,15.24 ,77.94 ,1308.96 ,0.71 ,6.95 ,46.43 ,24.61 ,69.51 ,1,Measurement,"Liu et al., 2022",2014
105,22,32.42583333,117.99,1.63,0.57,0.37,40,80,60,85.21 ,0.58 ,15.24 ,77.94 ,1308.96 ,0.71 ,7.19 ,45.64 ,22.16 ,71.91 ,1,Measurement,"Liu et al., 2022",2014
106,22,32.42583333,117.99,1.59,4.59,2.92,80,120,100,85.21 ,0.58 ,15.24 ,77.94 ,1308.96 ,0.71 ,7.20 ,42.82 ,25.25 ,72.01 ,1,Measurement,"Liu et al., 2022",2014
107,23,29.726,118.2130833,1.39,10.5,2.77,0,19,9.5,146.60 ,0.62 ,16.47 ,133.75 ,1234.00 ,1.30 ,5.57 ,55.26 ,27.82 ,55.67 ,1,Measurement,"Liu et al., 2022",2014
108,23,29.726,118.2130833,1.55,2.25,0.38,19,30,24.5,146.60 ,0.62 ,16.47 ,133.75 ,1234.00 ,1.30 ,5.75 ,52.27 ,29.97 ,57.55 ,1,Measurement,"Liu et al., 2022",2014
109,23,29.726,118.2130833,1.42,1.09,0.39,30,55,42.5,146.60 ,0.62 ,16.47 ,133.75 ,1234.00 ,1.30 ,5.92 ,50.31 ,31.31 ,59.18 ,1,Measurement,"Liu et al., 2022",2014
110,23,29.726,118.2130833,1.42,1.78,0.63,55,80,67.5,146.60 ,0.62 ,16.47 ,133.75 ,1234.00 ,1.30 ,6.04 ,49.27 ,32.97 ,60.41 ,1,Measurement,"Liu et al., 2022",2014
111,23,29.726,118.2130833,1.42,1.39,0.59,80,110,95,146.60 ,0.62 ,16.47 ,133.75 ,1234.00 ,1.30 ,6.12 ,50.08 ,33.61 ,61.20 ,1,Measurement,"Liu et al., 2022",2014
112,24,30.85983333,118.8048889,1.13,14.33,3.24,0,20,10,25.94 ,0.55 ,16.04 ,104.25 ,1238.00 ,1.01 ,5.69 ,54.79 ,22.92 ,56.91 ,2,Measurement,"Liu et al., 2022",2014
113,24,30.85983333,118.8048889,1.25,12.88,1.93,20,32,26,25.94 ,0.55 ,16.04 ,104.25 ,1238.00 ,1.01 ,6.00 ,53.92 ,21.30 ,60.00 ,2,Measurement,"Liu et al., 2022",2014
114,24,30.85983333,118.8048889,1.73,1.41,0.39,32,48,40,25.94 ,0.55 ,16.04 ,104.25 ,1238.00 ,1.01 ,6.42 ,51.36 ,21.42 ,64.21 ,2,Measurement,"Liu et al., 2022",2014
115,24,30.85983333,118.8048889,1.61,0.17,0.12,48,90,69,25.94 ,0.55 ,16.04 ,104.25 ,1238.00 ,1.01 ,6.80 ,47.27 ,22.42 ,68.03 ,2,Measurement,"Liu et al., 2022",2014
116,24,30.85983333,118.8048889,1.61,3.69,2.38,90,130,110,25.94 ,0.55 ,16.04 ,104.25 ,1238.00 ,1.01 ,6.88 ,43.53 ,22.99 ,68.77 ,2,Measurement,"Liu et al., 2022",2014
117,25,30.841,118.7472222,1.16,11.08,1.93,0,15,7.5,34.00 ,0.71 ,15.98 ,105.09 ,1230.00 ,1.02 ,5.58 ,38.03 ,31.18 ,55.76 ,3,Measurement,"Liu et al., 2022",2014
118,25,30.841,118.7472222,1.29,11.54,0.74,15,20,17.5,34.00 ,0.71 ,15.98 ,105.09 ,1230.00 ,1.02 ,5.76 ,37.29 ,30.54 ,57.65 ,3,Measurement,"Liu et al., 2022",2014
119,25,30.841,118.7472222,1.64,3.35,1.21,20,42,31,34.00 ,0.71 ,15.98 ,105.09 ,1230.00 ,1.02 ,6.06 ,36.23 ,30.15 ,60.62 ,3,Measurement,"Liu et al., 2022",2014
